,Categorie,precision,recall,f1-score,support,programme,libelle,id
31,60,0.1864406779661017,0.1976047904191616,0.191860465116279,167.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
32,1140,0.2532894736842105,0.308,0.2779783393501805,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
33,1160,0.6716981132075471,0.712,0.69126213592233,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
34,1180,0.26,0.0849673202614379,0.1280788177339901,153.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
35,1280,0.0893970893970894,0.086,0.0876656472986748,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
36,1281,0.0991379310344827,0.1111111111111111,0.1047835990888382,414.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
37,1300,0.241779497098646,0.25,0.2458210422812193,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
38,1301,0.2857142857142857,0.1366459627329192,0.1848739495798319,161.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
39,1302,0.1494464944649446,0.1626506024096385,0.1557692307692307,498.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
40,1320,0.2112068965517241,0.196,0.2033195020746888,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
41,1560,0.205949656750572,0.18,0.192102454642476,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
42,1920,0.4775086505190311,0.552,0.5120593692022263,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
43,1940,0.1590909090909091,0.1304347826086956,0.1433447098976109,161.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
44,2060,0.1451327433628318,0.164,0.1539906103286385,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
45,2220,0.1147540983606557,0.0424242424242424,0.0619469026548672,165.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
46,2280,0.4853896103896103,0.598,0.5358422939068099,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
47,2403,0.28,0.42,0.3360000000000001,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
48,2462,0.3395348837209302,0.2570422535211267,0.2925851703406813,284.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
49,2522,0.4073226544622426,0.356,0.3799359658484525,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
50,2582,0.2402597402597402,0.148,0.1831683168316831,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
51,2583,0.3215686274509804,0.328,0.3247524752475247,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
52,2585,0.2473347547974413,0.2324649298597194,0.2396694214876032,499.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
53,2705,0.6788990825688074,0.74,0.7081339712918661,500.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
54,2905,0.8975903614457831,0.8514285714285714,0.8739002932551319,175.0,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
55,accuracy,0.3227095251066921,0.3227095251066921,0.3227095251066921,0.3227095251066921,Modele_Img_Reseau_RGB_personnalise,modele perso RGB max 2500 lr=0.0001 DR20,CNN06
56,10,0.338865836791148,0.3932584269662921,0.3640416047548291,623.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
57,40,0.3258426966292135,0.3466135458167331,0.3359073359073359,502.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
58,50,0.2430278884462151,0.181547619047619,0.2078364565587734,336.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
59,60,0.2727272727272727,0.2694610778443114,0.2710843373493976,167.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
60,1140,0.1531100478468899,0.299625468164794,0.2026599113362888,534.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
61,1160,0.7309782608695652,0.6801517067003793,0.7046496398166339,791.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
62,1180,0.0925925925925925,0.065359477124183,0.0766283524904214,153.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
63,1280,0.1312154696132596,0.11875,0.1246719160104986,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
64,1281,0.1103448275862069,0.0772946859903381,0.0909090909090909,414.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
65,1300,0.3393461104847801,0.37625,0.3568464730290456,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
66,1301,0.4805194805194805,0.2298136645962732,0.3109243697478991,161.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
67,1302,0.1963048498845265,0.1706827309236948,0.1825993555316863,498.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
68,1320,0.2641129032258064,0.2021604938271605,0.229020979020979,648.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
69,1560,0.2506142506142506,0.255,0.2527881040892193,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
70,1920,0.530359355638166,0.535,0.5326695706285003,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
71,1940,0.2921348314606741,0.1614906832298136,0.2079999999999999,161.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
72,2060,0.190427698574338,0.23375,0.2098765432098765,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
73,2220,0.1379310344827586,0.0484848484848484,0.0717488789237668,165.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
74,2280,0.4590347923681257,0.51125,0.4837374334713187,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
75,2403,0.2772277227722772,0.245,0.2601194426011944,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
76,2462,0.2291666666666666,0.1549295774647887,0.1848739495798319,284.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
77,2522,0.3631010794896958,0.4625,0.4068169323804289,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
78,2582,0.2406876790830945,0.1621621621621621,0.1937716262975778,518.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
79,2583,0.4323725055432372,0.4875,0.4582843713278495,800.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
80,2585,0.3392405063291139,0.2685370741482966,0.2997762863534675,499.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
81,2705,0.7007575757575758,0.6702898550724637,0.6851851851851852,552.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
82,2905,0.8370786516853933,0.8563218390804598,0.8465909090909092,174.0,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
83,accuracy,0.3416550764951321,0.3416550764951321,0.3416550764951321,0.3416550764951321,Model_img_reseau_RGB_personnalise_Gener_L1,modele perso RGB max 4000 Generation l1=0.001 DR10,CNN07
84,10,0.4698972099853157,0.5136436597110754,0.4907975460122699,623.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
85,40,0.5653333333333334,0.4223107569721115,0.483466362599772,502.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
86,50,0.2937062937062937,0.125,0.1753653444676409,336.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
87,60,0.5660377358490566,0.180722891566265,0.273972602739726,166.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
88,1140,0.3554083885209713,0.301498127340824,0.3262411347517731,534.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
89,1160,0.6363636363636364,0.7876106194690266,0.703954802259887,791.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
90,1180,0.3666666666666666,0.0718954248366013,0.1202185792349726,153.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
91,1280,0.2047012732615083,0.1741666666666666,0.1882035119315623,1200.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
92,1300,0.3687589158345221,0.512388503468781,0.4288676897552883,1009.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
93,1301,0.4363636363636363,0.1490683229813664,0.2222222222222222,161.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
94,1302,0.24609375,0.1265060240963855,0.1671087533156498,498.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
95,1320,0.1901012373453318,0.2608024691358024,0.2199089134677943,648.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
96,1560,0.2859504132231405,0.3408866995073891,0.3110112359550561,1015.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
97,1920,0.4227707006369426,0.6167247386759582,0.5016532829475673,861.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
98,1940,0.2627118644067797,0.1925465838509316,0.2222222222222222,161.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
99,2060,0.3279569892473118,0.3053053053053053,0.3162260238465526,999.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
100,2220,0.4,0.0363636363636363,0.0666666666666666,165.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
101,2280,0.5285832642916322,0.6701680672268907,0.5910143584993052,952.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
102,2403,0.4107452339688041,0.4963350785340314,0.44950213371266,955.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
103,2462,0.3915343915343915,0.2605633802816901,0.3128964059196617,284.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
104,2522,0.5376756066411239,0.4218436873747495,0.4727681078046041,998.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
105,2582,0.2987421383647798,0.1833976833976834,0.2272727272727272,518.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
106,2583,0.5692821368948247,0.5683333333333334,0.5688073394495412,1200.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
107,2585,0.3223140495867768,0.2344689378757515,0.271461716937355,499.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
108,2705,0.6400580551523948,0.7989130434782609,0.7107171635777598,552.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
109,2905,0.8716577540106952,0.9367816091954024,0.9030470914127424,174.0,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
110,accuracy,0.4202707784881534,0.4202707784881534,0.4202707784881534,0.4202707784881534,Model_img_reseau_RGB_personnalise_Gener_L2,modele perso RGB max 6000 Generation l2=0.01 DR50,CNN08
111,10,0.9084628670120898,0.8443017656500803,0.8752079866888519,623.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
112,40,0.970873786407767,0.5976095617529881,0.7398273736128237,502.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
113,50,0.8323699421965318,0.8571428571428571,0.8445747800586509,336.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
114,60,0.706140350877193,0.9698795180722892,0.8172588832487309,166.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
115,1140,0.9194915254237288,0.8127340823970037,0.8628230616302186,534.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
116,1160,0.9857881136950905,0.9646017699115044,0.9750798722044728,791.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
117,1180,0.5353159851301115,0.9411764705882352,0.6824644549763033,153.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
118,1280,0.9212827988338192,0.632,0.7497034400948992,1000.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
119,1300,0.9083585095669688,0.902,0.9051680883090818,1000.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
120,1301,0.670995670995671,0.9627329192546584,0.7908163265306122,161.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
121,1302,0.9290322580645162,0.8674698795180723,0.8971962616822431,498.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
122,1320,0.9471830985915493,0.8302469135802469,0.8848684210526315,648.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
123,1560,0.9304257528556594,0.896,0.912888436067244,1000.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
124,1920,0.9583333333333334,0.9616724738675958,0.96,861.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
