,Unnamed: 0.2,Unnamed: 0.1,Epoch,accuracy,programme,libelle,id
56,56.0,56.0,17,0.25020831823349,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
57,57.0,57.0,18,0.2541474103927612,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
58,58.0,58.0,19,0.257328987121582,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
59,59.0,59.0,20,0.2629346251487732,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
60,60.0,60.0,21,0.2715703248977661,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
61,61.0,61.0,22,0.2735398709774017,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
62,62.0,62.0,23,0.2808878123760223,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
63,63.0,63.0,24,0.2833118736743927,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
64,64.0,64.0,25,0.2920233309268951,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
65,65.0,65.0,26,0.2924020886421203,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
66,66.0,66.0,27,0.2959624230861664,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
67,67.0,67.0,28,0.3030073344707489,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
68,68.0,68.0,29,0.3066434264183044,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
69,69.0,69.0,30,0.310431033372879,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
70,70.0,70.0,31,0.3167941868305206,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
71,71.0,71.0,32,0.3221725523471832,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
72,72.0,72.0,33,0.3279297053813934,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
73,73.0,73.0,34,0.3264904320240021,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
74,74.0,74.0,35,0.3362624049186706,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
75,75.0,75.0,36,0.3363381624221802,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
76,76.0,76.0,37,0.3431558310985565,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
77,77.0,77.0,38,0.3523218035697937,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
78,78.0,78.0,39,0.3539125919342041,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
79,79.0,79.0,40,0.3577001690864563,IMG_Reseau_images_undersampling_ecretage,undersampling max 764,UNDER03
80,80.0,80.0,1,0.0908491238951683,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
